,Geographic area,City_x,share_white,share_black,share_native_american,share_asian,share_hispanic,city,Geographic Area_x,City_y,Median Income,Geographic Area_y,City_x,poverty_rate,Geographic Area,City_y,percent_completed_hs
86,AK,Eielson AFB CDP,80.3,7.8,0.9,2.6,7.9,AK-Eielson AFB CDP,AK,Eielson AFB CDP,53388,AK,Eielson AFB CDP,6.8,AK,Eielson AFB CDP,96.6
87,AK,Ekwok city,5.2,0,90.4,0,2.6,AK-Ekwok city,AK,Ekwok city,31875,AK,Ekwok city,28.6,AK,Ekwok city,63.4
88,AK,Elfin Cove CDP,70,0,5,0,0,AK-Elfin Cove CDP,AK,Elfin Cove CDP,106667,AK,Elfin Cove CDP,0,AK,Elfin Cove CDP,100
89,AK,Elim city,7.3,0,89.7,0.3,0.3,AK-Elim city,AK,Elim city,37188,AK,Elim city,29.3,AK,Elim city,86.9
90,AK,Emmonak city,3.1,0,96.3,0.1,0.1,AK-Emmonak city,AK,Emmonak city,44773,AK,Emmonak city,25.8,AK,Emmonak city,83.9
91,AK,Ester CDP,84.6,2.1,6.7,1.2,3.3,AK-Ester CDP,AK,Ester CDP,68163,AK,Ester CDP,9.1,AK,Ester CDP,95
92,AK,Eureka Roadhouse CDP,75.9,0,6.9,3.4,6.9,AK-Eureka Roadhouse CDP,AK,Eureka Roadhouse CDP,-,AK,Eureka Roadhouse CDP,-,AK,Eureka Roadhouse CDP,-
93,AK,Evansville CDP,46.7,0,53.3,0,0,AK-Evansville CDP,AK,Evansville CDP,23750,AK,Evansville CDP,0,AK,Evansville CDP,78.6
94,AK,Excursion Inlet CDP,75,0,0,0,8.3,AK-Excursion Inlet CDP,AK,Excursion Inlet CDP,-,AK,Excursion Inlet CDP,12.5,AK,Excursion Inlet CDP,86.7
95,AK,Fairbanks city,66.1,9,10,3.6,9,AK-Fairbanks city,AK,Fairbanks city,55229,AK,Fairbanks city,13.1,AK,Fairbanks city,91.2
96,AK,False Pass city,20,0,77.1,2.9,0,AK-False Pass city,AK,False Pass city,55625,AK,False Pass city,5.4,AK,False Pass city,100
97,AK,Farm Loop CDP,88.8,0.8,4.2,0.9,1.9,AK-Farm Loop CDP,AK,Farm Loop CDP,82250,AK,Farm Loop CDP,4.1,AK,Farm Loop CDP,92.4
98,AK,Farmers Loop CDP,84,0.8,6.3,1.8,2.9,AK-Farmers Loop CDP,AK,Farmers Loop CDP,100703,AK,Farmers Loop CDP,5.8,AK,Farmers Loop CDP,98.9
99,AK,Ferry CDP,97,0,0,0,0,AK-Ferry CDP,AK,Ferry CDP,-,AK,Ferry CDP,100,AK,Ferry CDP,100
100,AK,Fishhook CDP,87.5,0.6,3.6,1.2,2.8,AK-Fishhook CDP,AK,Fishhook CDP,86917,AK,Fishhook CDP,4.8,AK,Fishhook CDP,94.5
101,AK,Flat CDP,(X),(X),(X),(X),(X),AK-Flat CDP,AK,Flat CDP,-,AK,Flat CDP,-,AK,Flat CDP,-
102,AK,Fort Greely CDP,78.3,4.3,1.9,1.5,13.2,AK-Fort Greely CDP,AK,Fort Greely CDP,(X),AK,Fort Greely CDP,0,AK,Fort Greely CDP,100
103,AK,Fort Yukon city,7.7,0.5,89.2,0.2,0.3,AK-Fort Yukon city,AK,Fort Yukon city,39583,AK,Fort Yukon city,18.5,AK,Fort Yukon city,77.1
104,AK,Four Mile Road CDP,53.5,0,30.2,2.3,0,AK-Four Mile Road CDP,AK,Four Mile Road CDP,-,AK,Four Mile Road CDP,0,AK,Four Mile Road CDP,50
